CODIGOACTA,Índice1,MOVILIDAD,MIEMBROS,DECOMISO,GENERO,OBRA SOCIAL,CREDITO,RIFLES,ESCOPETA,MACHETES,CUCHILLOS,OAD_FUEGO,RAMA,BENEFICIOS,MUNICIPIO,DEPARTAMENTO,EDAD,CLASES
68,2,AUTOMOVIL,4 MIEMBROS,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,,1,0,0,0,0,,,COMANDANTE ANDRESITO,GENERAL MANUEL BELGRANO,=>43 años,Caza como estrategia
37,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,FUERA DE RIESGO,0,0,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,,,21-31 años,Caza como tactica
69,1,,4 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,FUERA DE RIESGO,0,0,0,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,WANDA,IGUAZÚ,,Caza como estrategia
69,3,,4 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,FUERA DE RIESGO,0,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,WANDA,IGUAZÚ,,Caza como estrategia
70,4,,4 MIEMBROS,CON DECOMISO,VARÓN,,FUERA DE RIESGO,0,0,0,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,BERNARDO DE IRIGOYEN,GENERAL MANUEL BELGRANO,21-31 años,Caza como estrategia
70,1,,4 MIEMBROS,CON DECOMISO,VARÓN,CON OBRA SOCIAL,FUERA DE RIESGO,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,BERNARDO DE IRIGOYEN,GENERAL MANUEL BELGRANO,21-31 años,Caza como estrategia
75,4,EMBARCACIONES S/MOTOR,4 MIEMBROS,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,FUERA DE RIESGO,0,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,WANDA,IGUAZÚ,21-31 años,Caza como estrategia
69,2,,4 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,SITUACION 2 O 3,0,0,0,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,WANDA,IGUAZÚ,,Caza como estrategia
71,1,EMBARCACIONES S/MOTOR,4 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,SITUACIÓN 4 O 5,0,0,0,0,0,ADM PUBLICA/SERV PROFESIONALES,Algún ProgSocial,WANDA,IGUAZÚ,21-31 años,Caza como estrategia
70,2,,4 MIEMBROS,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,SITUACIÓN 4 O 5,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,BERNARDO DE IRIGOYEN,GENERAL MANUEL BELGRANO,32-42 años,Caza como estrategia
71,4,EMBARCACIONES S/MOTOR,4 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,SITUACIÓN 4 O 5,0,0,0,0,0,,Sin ProgSocial,WANDA,IGUAZÚ,=>43 años,Caza como estrategia
1,1,LANCHA,1 MIEMBRO,CON DECOMISO,,,,0,0,0,0,0,,,,,,Caza comb de lugareños
41,1,EMBARCACIONES S/MOTOR,1 MIEMBRO,SIN DECOMISO,VARÓN,,,0,0,0,0,0,,,COLONIA AURORA,25 DE MAYO,,Caza comb de lugareños
12,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,,,0,0,0,0,0,,,ARISTÓBULO DEL VALLE,CAINGUÁS,,Caza como tactica
6,1,EMBARCACIONES S/MOTOR,1 MIEMBRO,SIN DECOMISO,VARÓN,,,0,0,0,0,0,,,PUERTO LIBERTAD,IGUAZÚ,,Caza como estrategia
42,1,EMBARCACIONES S/MOTOR,1 MIEMBRO,SIN DECOMISO,MUJER,,,0,0,0,0,0,,,PORTO XAVIER (BR),RIO GRANDE DO SUL (BR),,Caza comb de extranjeros
40,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,ADM PUBLICA/SERV PROFESIONALES,Algún ProgSocial,COLONIA DELICIA,ELDORADO,-21 años,Caza como tactica
38,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,EL ALCÁZAR,LIBERTADOR GENERAL SAN MARTÍN,-21 años,Caza como tactica
32,1,AUTOMOVIL,1 MIEMBRO,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Algún ProgSocial,,,21-31 años,Caza como estrategia
39,1,EMBARCACIONES S/MOTOR,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,,Algún ProgSocial,BERNARDO DE IRIGOYEN,GENERAL MANUEL BELGRANO,21-31 años,Caza como tactica
30,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,PUERTO LIBERTAD,IGUAZÚ,21-31 años,Caza como estrategia
24,1,MOTOCICLETA,1 MIEMBRO,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Algún ProgSocial,WANDA,IGUAZÚ,21-31 años,Caza como estrategia
26,1,,1 MIEMBRO,CON DECOMISO,MUJER,SIN OBRA SOCIAL,,0,0,0,0,0,,Algún ProgSocial,SAN JAVIER,SAN JAVIER,21-31 años,Caza como tactica
21,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,ELDORADO,ELDORADO,32-42 años,Caza como estrategia
23,1,,1 MIEMBRO,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,PUERTO ESPERANZA,IGUAZÚ,32-42 años,Caza como estrategia
17,1,EMBARCACIONES S/MOTOR,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,,Algún ProgSocial,WANDA,IGUAZÚ,32-42 años,Caza como estrategia
19,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,WANDA,IGUAZÚ,32-42 años,Caza como estrategia
31,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,,,SAN PEDRO,SAN PEDRO,32-42 años,Caza como tactica
20,1,MOTOCICLETA,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,SAN PEDRO,SAN PEDRO,32-42 años,Caza como tactica
14,1,CAMIONETA,1 MIEMBRO,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,,,COLONIA VICTORIA,ELDORADO,=>43 años,Caza como estrategia
13,1,,1 MIEMBRO,CON DECOMISO,VARÓN,,,0,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,PUERTO ESPERANZA,IGUAZÚ,=>43 años,Caza como estrategia
15,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,,,0,0,0,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,PUERTO IGUAZÚ,IGUAZÚ,=>43 años,Caza como estrategia
11,1,EMBARCACIONES S/MOTOR,1 MIEMBRO,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,,Algún ProgSocial,PUERTO LIBERTAD,IGUAZÚ,=>43 años,Caza como estrategia
16,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,PUERTO LIBERTAD,IGUAZÚ,=>43 años,Caza como estrategia
2,1,EMBARCACIONES S/MOTOR,2 MIEMBROS,SIN DECOMISO,,,,0,0,0,0,0,,,,,,Caza como tactica
54,2,,2 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,CLEVELANDIA  (BR),PARANÁ (BR),,Caza como estrategia
54,1,,2 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,PATO BRANCO (BR),PARANÁ (BR),,Caza como estrategia
7,1,EMBARCACIONES S/MOTOR,2 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,HORIZONTINA (BR),RIO GRANDE DO SUL (BR),,Caza comb de extranjeros
7,2,EMBARCACIONES S/MOTOR,2 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,HORIZONTINA (BR),RIO GRANDE DO SUL (BR),,Caza comb de extranjeros
53,1,EMBARCACIONES S/MOTOR,2 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,TRES DE MAYO (BR),RIO GRANDE DO SUL (BR),,Caza comb de extranjeros
53,2,EMBARCACIONES S/MOTOR,2 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,TRES DE MAYO (BR),RIO GRANDE DO SUL (BR),,Caza comb de extranjeros
49,1,EMBARCACIONES S/MOTOR,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,ELDORADO,ELDORADO,21-31 años,Caza como estrategia
49,2,EMBARCACIONES S/MOTOR,2 MIEMBROS,SIN DECOMISO,MUJER,SIN OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,ELDORADO,ELDORADO,21-31 años,Caza como tactica
62,2,LANCHA,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,EL SOBERBIO,GUARANÍ,21-31 años,Caza comb de lugareños
58,1,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,ADM PUBLICA/SERV PROFESIONALES,Algún ProgSocial,WANDA,IGUAZÚ,21-31 años,Caza como tactica
47,1,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,PUERTO RICO,LIBERTADOR GENERAL SAN MARTÍN,21-31 años,Caza como tactica
62,1,LANCHA,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,EL SOBERBIO,GUARANÍ,32-42 años,Caza comb de lugareños
57,2,,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Algún ProgSocial,WANDA,IGUAZÚ,32-42 años,Caza como estrategia
58,2,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,WANDA,IGUAZÚ,32-42 años,Caza como estrategia
